"","Isolation.source","Completeness","Cenote.taker.contig.name","original.contig.name","Length","Element.Name","Topology","Common.Viral.Domains","ORF.caller.used","BLASTP.hit.for.Taxonomy","BLASTN.result..if.any."
"31","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1654 ","NODE_1_length_85454_cov_476_481371_S007-71",85377," Myoviridae sp. ctM45654 "," circular ",8," PHANOTATE "," Viruses; Caudovirales; Myoviridae; unclassified Myoviridae gi|30044056|ref|NP_835653.1| similar to terminase DNA packaging enzyme, large subunit [Rhodothermus phage RM378] 36.757 "," no blastn"
"32","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1655 ","NODE_3_length_45868_cov_63_488415_S007-71",45782," Myoviridae sp. ctpbd655 "," circular ",11," PHANOTATE "," Viruses; Caudovirales; Myoviridae; Lubbockvirus; unclassified Lubbockvirus gi|971763867|ref|YP_009216852.1| putative terminase large subunit protein [Clostridium phage phiCDHM19] 30.317 "," no blastn"
"33","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1664 ","NODE_24_length_12938_cov_16_003732_S007-71",12814," Myoviridae sp. ct99H664 "," circular ",2," PHANOTATE "," Viruses; Caudovirales; Myoviridae; unclassified Myoviridae gi|39653686|ref|NP_945251.1| DnaC protein [Streptococcus phage EJ 1] 35.521 "," no blastn"
"34","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1737 ","NODE_2_length_43328_cov_161_680840_S007-84",43251," Siphoviridae sp. ctqGO737 "," circular ",16," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|971821263|ref|YP_009206301.1| terminase large subunit [Bacillus phage phi4B1] 56.699 "," no blastn"
"35","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1838 ","NODE_4_length_35676_cov_229_983904_S009-100",35596," Podoviridae sp. ctVY7838 "," circular ",5," PHANOTATE "," Viruses; Caudovirales; Podoviridae; unclassified Podoviridae gi|526244987|ref|YP_008320314.1| phage terminase large subunit [Puniceispirillum phage HMO 2011] 32.088 "," no blastn"
"36","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1850 ","NODE_1_length_41321_cov_17_485768_S009-104",41244," Podoviridae sp. ctfMD850 "," circular ",7," PHANOTATE "," Viruses; Caudovirales; Podoviridae; Uetakevirus; unclassified Uetakevirus gi|418487633|ref|YP_007001973.1| putative phage terminase, large subunit [Escherichia phage TL 2011b] 54.149 "," no blastn"
"37","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1950 ","NODE_29_length_5499_cov_1226_763925_S009-179",5422," Microviridae sp. ctVmf950 "," circular ",4," PHANOTATE "," Viruses; Microviridae; unclassified Microviridae gi|1043372884|ref|YP_009259740.1| replication initiator protein [Chimpanzee faeces associated microphage 2] 44.218 "," no blastn"
"38","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1979 ","NODE_1_length_44957_cov_112_684893_S009-182",44808," Siphoviridae sp. ct89j979 "," circular ",14," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|725950545|ref|YP_009103068.1| terminase large subunit [Enterococcus phage EFC 1] 56.570 "," no blastn"
"39","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2000 ","NODE_1_length_44038_cov_2452_178863_S009-191",43961," Siphoviridae sp. cthNv000 "," circular ",9," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|208429857|ref|YP_002265410.1| large terminase [Clostridium phage phiCP39 O] 43.932 "," no blastn"
"40","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2009 ","NODE_12_length_6156_cov_128_297582_S009-195",6079," Microviridae sp. cty7B009 "," circular ",3," PHANOTATE "," Viruses; Microviridae; unclassified Microviridae gi|1043372884|ref|YP_009259740.1| replication initiator protein [Chimpanzee faeces associated microphage 2] 33.182 "," no blastn"
"41","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2040 ","NODE_2_length_37997_cov_1356_985680_S009-229",37920," Siphoviridae sp. ctBXh040 "," circular ",15," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|28876465|ref|NP_795683.1| putative terminase large subunit [Streptococcus phage 315.6] 76.808 "," no blastn"
"42","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2044 ","NODE_22_length_6020_cov_1869_946155_S009-229",5943," Microviridae sp. cthRN044 "," circular ",2," PHANOTATE "," Viruses; Microviridae; unclassified Microviridae gi|906476413|ref|YP_009160408.1| replication protein VP4 [Microviridae Fen7918_21] 32.000 "," no blastn"
"43","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2057 ","NODE_27_length_5922_cov_3922_899059_S009-244",5845," Microviridae sp. ctcbG057 "," circular ",3," PHANOTATE "," Viruses; Microviridae; unclassified Microviridae gi|906476326|ref|YP_009160360.1| replication protein VP4, partial [Microviridae Bog9017_22] 28.571 "," no blastn"
"44","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2072 ","NODE_2_length_38560_cov_194_916379_S009-31",38483," Myoviridae sp. ctd5o072 "," circular ",15," PHANOTATE "," Viruses; Caudovirales; Myoviridae; unclassified Myoviridae gi|90592610|ref|YP_529870.1| putative phage terminase large subunit B [Lactobacillus phage KC5a] 100.000 "," no blastn"
"45","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2099 ","NODE_4_length_37854_cov_146_982661_S009-62",37774," Siphoviridae sp. ctTo5099 "," circular ",13," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|326536849|ref|YP_004306103.1| putative terminase large subunit [Clostridium phage phiCD6356] 34.004 "," no blastn"
"46","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2109 ","NODE_4_length_38669_cov_76_199135_S009-64",38566," Myoviridae sp. ctUAm109 "," circular ",15," PHANOTATE "," Viruses; Caudovirales; Myoviridae; unclassified Myoviridae gi|23505447|ref|NP_700375.1| Terminase large subunit [Salmonella phage ST64B] 68.996 "," no blastn"
"47","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2118 ","NODE_3_length_41235_cov_69_104791_S009-70",41149," Siphoviridae sp. ctcJq118 "," circular ",8," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|509140041|ref|YP_008058925.1| putative phage terminase large subunit [Clostridium phage vB_CpeS CP51] 52.318 "," no blastn"
"48","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2172 ","NODE_3_length_42592_cov_718_615594_S009-8",42522," Siphoviridae sp. ctD0L172 "," circular ",13," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; Lilyvirus; Paenibacillus virus Lily gi|971748254|ref|YP_009202208.1| terminase large subunit [Bacteriophage Lily] 45.287 "," no blastn"
"49","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2208 ","NODE_1_length_45158_cov_118_265300_S010-103",45081," Siphoviridae sp. ctFFs208 "," circular ",14," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|725950545|ref|YP_009103068.1| terminase large subunit [Enterococcus phage EFC 1] 56.570 "," no blastn"
"50","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2221 ","NODE_1_length_96618_cov_1001_733533_S010-108",96526," CrAss-like virus sp. ctIRt221 "," circular ",7," PHANOTATE "," Viruses; Caudovirales; Podoviridae; unclassified Podoviridae; crAss-like viruses; environmental samples gi|674660346|ref|YP_009052497.1| putative DNA polymerase family B [uncultured crAssphage] 39.064 "," no blastn"
"51","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2222 ","NODE_2_length_44010_cov_125_218310_S010-108",43933," Siphoviridae sp. ctNVU222 "," circular ",9," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|208429857|ref|YP_002265410.1| large terminase [Clostridium phage phiCP39 O] 41.728 "," no blastn"
"52","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2268 ","NODE_250_length_4875_cov_5_333264_S010-123",4784," metagenomic plasmid sp. ctmNy268 "," circular ",0," PHANOTATE "," cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides gi|425702610|ref|YP_007008159.1|replication protein A (plasmid) [Bacteroides fragilis] 40.719 "," no blastn"
"53","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2288 ","NODE_825_length_2594_cov_3_470799_S010-123",2330," Siphoviridae sp. ctYzf288 "," circular ",0," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; Wbetavirus; unclassified Wbetavirus gi|77020163|ref|YP_338210.1| site specific recombinase [Bacillus phage Gamma] 27.733 "," no blastn"
"54","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2331 ","NODE_6_length_53511_cov_231_009339_S010-136",53434," Siphoviridae sp. ct83q331 "," circular ",14," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|282598712|ref|YP_003358792.1| putative phage terminase B protein [Enterococcus phage phiEf11] 44.444 "," no blastn"
"55","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2332 ","NODE_8_length_45087_cov_29_698623_S010-136",44912," Myoviridae sp. ctACo332 "," circular ",10," PHANOTATE "," Viruses; Caudovirales; Myoviridae; Lubbockvirus; unclassified Lubbockvirus gi|971763867|ref|YP_009216852.1| putative terminase large subunit protein [Clostridium phage phiCDHM19] 28.833 "," no blastn"
"56","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2333 ","NODE_11_length_42207_cov_35_559459_S010-136",42106," Siphoviridae sp. ct9kA333 "," circular ",16," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|971821263|ref|YP_009206301.1| terminase large subunit [Bacillus phage phi4B1] 53.846 "," no blastn"
"57","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2334 ","NODE_12_length_41782_cov_35_588203_S010-136",41705," Siphoviridae sp. ctWKY334 "," circular ",9," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|509140041|ref|YP_008058925.1| putative phage terminase large subunit [Clostridium phage vB_CpeS CP51] 54.628 "," no blastn"
"58","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2337 ","NODE_16_length_37807_cov_79_958892_S010-136",37730," Myoviridae sp. ctEIe337 "," circular ",11," PHANOTATE "," Viruses; Caudovirales; Myoviridae; unclassified Myoviridae gi|985757833|ref|YP_009223208.1| terminase 1 [Bacillus phage BM5] 56.415 "," no blastn"
"59","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2362 ","NODE_342_length_5832_cov_17_652302_S010-136",5755," Microviridae sp. ctg7u362 "," circular ",4," PHANOTATE "," Viruses; Microviridae; unclassified Microviridae gi|1043372884|ref|YP_009259740.1| replication initiator protein [Chimpanzee faeces associated microphage 2] 38.782 "," no blastn"
"60","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2434 ","NODE_1_length_79048_cov_27_609933_S010-137",78948," Siphoviridae sp. ctwTC434 "," circular ",6," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|282598712|ref|YP_003358792.1| putative phage terminase B protein [Enterococcus phage phiEf11] 28.367 "," no blastn"
"61","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2436 ","NODE_4_length_34077_cov_88_158824_S010-137",34000," Podoviridae sp. ct5Ap436 "," circular ",5," PHANOTATE "," Viruses; Caudovirales; Podoviridae; unclassified Podoviridae gi|526244987|ref|YP_008320314.1| phage terminase large subunit [Puniceispirillum phage HMO 2011] 32.533 "," no blastn"
"62","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2455 ","NODE_6_length_39953_cov_76_898962_S010-139",39876," Myoviridae sp. ctplX455 "," circular ",10," PHANOTATE "," Viruses; Caudovirales; Myoviridae; Lubbockvirus; unclassified Lubbockvirus gi|971763867|ref|YP_009216852.1| putative terminase large subunit protein [Clostridium phage phiCDHM19] 67.269 "," no blastn"
"63","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2524 ","NODE_54_length_6393_cov_8_696168_S010-149",6298," Microviridae sp. ctXM6524 "," circular ",3," Prodigal (meta) "," Viruses; Microviridae; unclassified Microviridae gi|971765806|ref|YP_009218805.1| replication protein VP4 [Parabacteroides phage YZ 2015b] 31.019 "," no blastn"
"64","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2525 ","NODE_60_length_5644_cov_890_324232_S010-149",5567," Microviridae sp. ctXZY525 "," circular ",4," PHANOTATE "," Viruses; Microviridae; unclassified Microviridae gi|1043372884|ref|YP_009259740.1| replication initiator protein [Chimpanzee faeces associated microphage 2] 43.519 "," no blastn"
"65","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2539 ","NODE_1_length_132500_cov_25_889007_S010-157",132423," Unclassified virus sp. ctlfb539 "," circular ",7," PHANOTATE "," unclassified virus "," no blastn"
"66","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2566 ","NODE_4_length_6244_cov_454_769742_S010-171",6167," Microviridae sp. ctPxr566 "," circular ",3," PHANOTATE "," Viruses; Microviridae; unclassified Microviridae gi|906476326|ref|YP_009160360.1| replication protein VP4, partial [Microviridae Bog9017_22] 31.298 "," no blastn"
"67","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA260 ","NODE_2_length_39918_cov_32_961648_S003-195",39834," Podoviridae sp. ctBV4260 "," circular ",10," PHANOTATE "," Viruses; Caudovirales; Podoviridae; Autographivirinae; Teseptimavirus; unclassified Teseptimavirus gi|966201606|ref|YP_009191792.1| DNA packaging protein [Delftia phage IME DE1] 57.169 "," no blastn"
"68","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2632 ","NODE_390_length_5474_cov_24_744302_S010-3",5397," metagenomic plasmid sp. ctMnE632 "," circular ",0," PHANOTATE "," cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides gi|425702610|ref|YP_007008159.1|replication protein A (plasmid) [Bacteroides fragilis] 46.319 "," no blastn"
"69","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2689 ","NODE_1_length_38052_cov_680_734536_S010-94",37975," Siphoviridae sp. ct5bN689 "," circular ",10," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|589286245|ref|YP_009005234.1| Phage large terminase small subunit [Oenococcus phage phiS13] 51.629 "," no blastn"
"70","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2701 ","NODE_1_length_42067_cov_26_777709_S010-98",41990," Siphoviridae sp. ctInw701 "," circular ",7," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|966201395|ref|YP_009191532.1| putative terminase large subunit [Streptococcus phage A25] 31.618 "," no blastn"
"71","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2714 ","NODE_4_length_38028_cov_1192_394693_S011-10",37951," Siphoviridae sp. ctn9t714 "," circular ",10," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|971820046|ref|YP_009208355.1| Terminase large subunit [Clostridium phage phiCD111] 34.468 "," no blastn"
"72","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2726 ","NODE_4_length_42501_cov_39_198355_S011-11",42424," Siphoviridae sp. ctWvd726 "," circular ",9," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|16798785|ref|NP_463463.1| putative terminase large subunit [Listeria phage A118] 32.009 "," no blastn"
"73","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2762 ","NODE_1_length_60962_cov_358_525959_S011-13",60820," Siphoviridae sp. ctqNR762 "," circular ",5," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|53793591|ref|YP_112491.1| terminase large subunit [Flavobacterium phage 11b] 40.323 "," no blastn"
"74","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA2767 ","NODE_1_length_165703_cov_22_552951_S011-15",165579," Siphoviridae sp. ctGnh767 "," circular ",14," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; Spbetavirus gi|9630181|ref|NP_046608.1| hypothetical protein SPBc2p056 [Bacillus virus SPbeta] 34.477 "," no blastn"
