"","product","Freq","CAT"
"139","Haemolysin XhlA",13,"Other"
"140","Domain of unknown function (DUF4373)",13,"Unknown/Hypothetical"
"141","DNA polymerase",13,"Replication_general"
"142","Cysteine-rich KTR",13,"Unknown/Hypothetical"
"143","baseplate assembly protein",13,"Assembly"
"144","Tail protein",12,"Structural"
"145","replisome organiser protein",12,"Replication_general"
"146","Protein of unknown function (DUF739)",12,"Unknown/Hypothetical"
"147","Protein of unknown function (DUF1372)",12,"Unknown/Hypothetical"
"148","Protein of unknown function (DUF1073)",12,"Unknown/Hypothetical"
"149","Predicted transcriptional regulator",12,"Transcription_regulation"
"150","Phage_holin_Dp1",12,"Entry_Escape"
"151","Minor structural protein",12,"Structural"
"152","ECF sigma factor",12,"Transcription_regulation"
"153","DNA HELIX DESTABILIZING PROTEIN",12,"Replication_general"
"154","Cpl 1 lysin",12,"Entry_Escape"
"155","UPPER COLLAR PROTEIN",11,"Structural"
"156","site specific tyrosine recombinase",11,"Replication_repairanrecombination"
"157","Scaffold protein",11,"Assembly"
"158","Protein of unknown function (DUF3383)",11,"Unknown/Hypothetical"
"159","Protein of unknown function (DUF2570)",11,"Unknown/Hypothetical"
"160","Protein of unknown function (DUF1366)",11,"Unknown/Hypothetical"
"161","Protein of unknown function (DUF1071)",11,"Unknown/Hypothetical"
"162","Portal protein",11,"Structural"
"163","Phage tail lysozyme",11,"Entry_Escape"
"164","phage holin",11,"Entry_Escape"
"165","PGDYG protein",11,"Unknown/Hypothetical"
"166","PemK-like, MazF-like toxin of type II toxin-antitoxin system",11,"Other_toxin"
"167","NlpC/P60 family",11,"Entry_Escape"
"168","Major head protein, Scaffold protein capsid protein, HK97-like fold.72A",11,"Assembly"
"169","major capsid protein, HK97 like fold",11,"Structural"
"170","major capsid protein E",11,"Structural"
"171","Lysozyme",11,"Entry_Escape"
"172","Lower collar protein",11,"Structural"
"173","DNA polymerase B",11,"Replication_general"
"174","-like DNA repair protein MmcB-like",11,"Replication_repairanrecombination"
"175","zinc-ribbon domain",10,"Replication_general"
"176","Transcription initiation factor IIE, alpha FINGER, Transcription ZN",10,"Transcription_regulation"
"177","tail assembly protein I",10,"Assembly"
"178","Small Terminase",10,"Assembly"
"179","Replication protein P",10,"Replication_general"
"180","Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT",10,"Other_toxin"
"181","Protein of unknown function (DUF3853)",10,"Unknown/Hypothetical"
"182","PhnA Zinc-Ribbon",10,"Replication_general"
"183","Phage-like element PBSX protein xkdH X-Ray SR362 P54328 Structure PO4.5A",10,"Unknown/Hypothetical"
"184","phage transcriptional regulator, ArpU family",10,"Transcription_regulation"
"185","Phage related minor tail protein",10,"Structural"
"186","Phage regulatory protein Rha (Phage_pRha)",10,"Transcription_regulation_indicationlysogeny"
"187","Phage minor tail protein",10,"Structural"
"188","phage baseplate",10,"Structural"
"189","MPN_NLPC_P60",10,"Entry_Escape"
"190","LbR_YadA-like",10,"Other"
"191","head to tail connecting protein",10,"Structural"
"192","Head protein",10,"Structural"
"193","Ead/Ea22-like protein",10,"Other"
"194","DNA encapsidation protein",10,"Structural"
"195","DNA adenine methylase",10,"Take-over"
"196","Cell division protein FtsL",10,"Other"
"197","AM32/DNA Complex, Protein-DNA complex, Type IV EPE.93A",10,"Other"
"198","YjcQ protein",9,"Unknown/Hypothetical"
"199","Virulence associated protein E",9,"Other"
"200","Tail length tape measure protein",9,"Structural"
"201","tail fibre assembly protein",9,"Assembly"
"202","Structural protein",9,"Structural"
"203","Phage virion morphogenesis family",9,"Structural"
"204","Phage minor tail protein L",9,"Structural"
"205","PcfK-like protein",9,"Other"
"206","ParA; dna binding, winged hth protein",9,"Replication_repairanrecombination_indicationlysogeny"
"207","Minor tail protein",9,"Structural"
"208","minor capsid component",9,"Structural"
"209","MAJOR CAPSID PROTEIN",9,"Structural"
"210","holin protein",9,"Entry_Escape"
"211","HNHc",9,"Replication_repairanrecombination"
"212","helix_turn_helix, Lux Regulon",9,"Transcription_regulation"
"213","Helicase of the snf2 rad54 family",9,"Replication_general"
"214","gp15-Tail Connector Protein gp15 of Bacteriophage SPP1 and similar proteins",9,"Structural"
"215","Flagellar and Swarming motility proteins",9,"Other"
"216","Exodeoxyribonuclease 8",9,"Replication_general"
"217","DNA primase",9,"Replication_general"
"218","DNA binding protein VP5",9,"Replication_general"
"219","Bacteriophage Lambda NinG protein",9,"Replication_repairanrecombination"
"220","Adenine specific DNA methyltransferase",9,"Take-over"
"221","Uncharacterized phage-associated protein",8,"Unknown/Hypothetical"
"222","Type I restriction enzyme Methylase",8,"Take-over"
"223","Transcriptional activator RinB",8,"Transcription_regulation"
"224","terminase large subunit (GpA)",8,"Assembly"
"225","Tail sheath",8,"Structural"
"226","structural protein",8,"Structural"
"227","ReqiPepy6 protein",8,"Other"
"228","Regulatory protein-modification, helix-turn-helix, transcriptional regulator, DNA SO4, GOL.38A",8,"Transcription_regulation"
"229","Receptor Binding Protein",8,"Entry_Escape"
"230","PVL ORF 50 like protein",8,"Unknown/Hypothetical"
"231","Putative rep protein (DUF1424)",8,"Unknown/Hypothetical"
"232","putative protease.Length=233",8,"Other"
"233","Protein of unknown function (DUF4054)",8,"Unknown/Hypothetical"
"234","Protein of unknown function (DUF3277)",8,"Unknown/Hypothetical"
"235","Protein of unknown function (DUF3102)",8,"Unknown/Hypothetical"
"236","Protein of unknown function (DUF1514)",8,"Unknown/Hypothetical"
"237","Probable bacteriophage protein, tail fiber, fiber, phage.701A",8,"Structural"
"238","Phage tail protein",8,"Structural"
"239","Phage portal protein",8,"Structural"
"240","Phage antirepressor protein KilAC domain",8,"Transcription_regulation_indicationlysogeny"
"241","peptidoglycan hydrolase",8,"Entry_Escape"
"242","Nucleoid-associated protein Rv3716c, DNA binding, metal ion EDO.9A",8,"Replication_general"
"243","Major head protein",8,"Structural"
"244","Major Capsid Protein",8,"Structural"
"245","lytic transglycosylase",8,"Entry_Escape"
"246","Hypothetical protein (DUF2513)",8,"Unknown/Hypothetical"
"247","HNH endonuclease bacteriophage, HNH Endonuclease, DNA.52A",8,"Replication_repairanrecombination"
"248","HK97 Family Phage Portal Protein",8,"Structural"
"249","Family of unknown function (DUF5320)",8,"Unknown/Hypothetical"
"250","Domain of Unknown Function with PDB structure (DUF3850)",8,"Unknown/Hypothetical"
"251","Domain of unknown function (DUF5067)",8,"Unknown/Hypothetical"
"252","DnaD like replication protein",8,"Replication_general"
"253","DNA pilot protein VP2",8,"Unknown/Hypothetical"
"254","DNA directed DNA polymerase",8,"Replication_general"
"255","Chitinase A",8,"Entry_Escape"
"256","Tape measure domain protein",7,"Structural"
"257","Tail tube protein",7,"Structural"
"258","Short C-terminal domain",7,"Unknown/Hypothetical"
"259","RNAseH, DNA binding, DNA cleavage",7,"Replication_general"
"260","Repressor, Anti-repressor protein, Anti-repressor, complex, DNA BINDING.49A",7,"Transcription_regulation_indicationlysogeny"
"261","replisome organiser",7,"Replication_general"
"262","Replication initiation and membrane attachment",7,"Replication_general"
"263","Regulatory protein-modification, helix-turn-helix, transcriptional regulato, DNA GOL, PEG, ACT.97A",7,"Transcription_regulation"
"264","Regulatory protein repA",7,"Replication_general"
"265","Receptor binding protein",7,"Entry_Escape"
"266","Prp-like",7,"Other"
"267","Protein of unknown function (DUF4035)",7,"Unknown/Hypothetical"
"268","Protein of unknown function (DUF3269)",7,"Unknown/Hypothetical"
"269","Protein of unknown function (DUF2635)",7,"Unknown/Hypothetical"
"270","Protein of unknown function (DUF1441)",7,"Unknown/Hypothetical"
"271","Protein of unknown function (DUF1382)",7,"Unknown/Hypothetical"
"272","Protein of unknown function (DUF1056)",7,"Unknown/Hypothetical"
"273","Protein of unknown function (DUF1043)",7,"Unknown/Hypothetical"
"274","Prophage CP4-57 regulatory protein (AlpA)",7,"0"
"275","Predicted outer membrane protein",7,"Unknown/Hypothetical"
"276","PORTAL PROTEIN, 15 PROTEIN, HEAD PROTEIN, VIRAL INFECTION, TAILED.2A",7,"Structural"
"277","Phage-related minor tail protein",7,"Structural"
"278","Phage tail-collar fibre protein",7,"Structural"
"279","Phage tail tube protein, GTA-gp10",7,"Structural"
"280","Phage regulatory protein CII (CP76)",7,"Transcription_regulation_indicationlysogeny"
"281","Phage minor structural protein GP20",7,"Structural"
"282","Phage minor capsid protein",7,"Structural"
"283","phage head tail adaptor, putative, SPP1 family",7,"Structural"
"284","PerC transcriptional activator",7,"Transcription_regulation"
"285","P22_AR N-terminal domain",7,"Transcription_regulation_indicationlysogeny"
"286","Nucleoside Triphosphate Pyrophosphohydrolase",7,"Other"
"287","N-6 DNA Methylase",7,"Take-over"
"288","Mos transposase",7,"Replication_repairanrecombination"
"289","Lysin",7,"Entry_Escape"
"290","High frequency of lysogenization C protein",7,"Replication_indicationlysogeny"
"291","HicA toxin of bacterial toxin-antitoxin_",7,"Other_toxin"
"292","gamma delta Resolvase, site specific recombination",7,"Replication_repairanrecombination"
"293","DNA-directed RNA polymerase",7,"Replication_general"
"294","Dna polymerase B",7,"Replication_general"
"295","DNA directed RNA polymerase subunit",7,"Replication_general"
"296","DNA CYTOSINE METHYLTRANSFERASE DNMT2",7,"Take-over"
"297","capsid protein",7,"Structural"
"298","Bacteriophage holin of superfamily 6 (Holin_LLH)",7,"Entry_Escape"
"299","ATPase proteolipid family",7,"Assembly"
"300","Abi-like protein",7,"Other_toxin"
"301","Zinc-ribbon containing domain",6,"Replication_general"
"302","virion protein",6,"Structural"
"303","TS_Pyrimidine_HMase",6,"NucleotideMetabolism"
"304","tail fibre",6,"Structural"
"305","SOS-response transcriptional repressors (RecA-mediated autopeptidases)",6,"Entry_Escape"
"306","RNA dependent RNA polymerase",6,"Replication_general"
"307","Rho termination factor, N-terminal domain",6,"Transcription_regulation"
"308","replicative DNA helicase",6,"Replication_general"
"309","Recombination enhancement, RecA-dependent nuclease",6,"Replication_general"
"310","Putative transferase, nesg, ydcK, Structural Genomics MSE.38A",6,"Unknown/Hypothetical"
"311","Putative exonuclease",6,"Replication_general"
"312","Protein of unknown function (DUF806)",6,"Unknown/Hypothetical"
"313","Protein of unknown function (DUF3164)",6,"Unknown/Hypothetical"
"314","Protein of unknown function (DUF1340)",6,"Unknown/Hypothetical"
"315","Protein of unknown function (DUF1024)",6,"Unknown/Hypothetical"
"316","Phage_holin_4_1",6,"Entry_Escape"
"317","Phage tail tube protein family",6,"Structural"
"318","Phage tail assembly chaperone proteins, E, or 41 or 14",6,"Assembly"
"319","Phage tail assembly chaperone",6,"Assembly"
"320","Phage protein",6,"Unknown/Hypothetical"
"321","phage holin Dp 1",6,"Entry_Escape"
"322","Minor capsid component",6,"Structural"
"323","Major Capsid Protein (DUF4043)",6,"Unknown/Hypothetical"
"324","LysM",6,"Entry_Escape"
"325","KilA protein",6,"Take-over"
"326","HOLLIDAY JUNCTION RESOLVASE",6,"Replication_repairanrecombination"
"327","Exodeoxyribonuclease",6,"Replication_general"
"328","endodeoxyribonuclease I",6,"Replication_general"
"329","DNAB Like Replicative Helicase",6,"Replication_general"
"330","DNA Polymerase I",6,"Replication_general"
"331","DNA N 6 adenine methyltransferase",6,"Take-over"
"332","DNA helicase",6,"Replication_general"
"333","Conserved phage C-terminus (Phg_2220_C)",6,"0"
"334","Collagen triple helix repeat (20 copies)",6,"Other"
"335","Bifunctional DNA primase polymerase",6,"Replication_general"
"336","Bacteriophage holin family, superfamily II-like",6,"Entry_Escape"
"337","Bacteriophage CII protein",6,"Transcription_regulation_indicationlysogeny"
"338","ASCH_Ef3133_like-1 homology domain, subfamily similar to Enterococcus faecalis Ef3133",6,"0"
"339","Alpha-aminoadipate carrier protein LysW Finger, Amino acid carrier UN1.2A",6,"Other"
"340","Adenine-specific methyltransferase EcoRI",6,"Take-over"
"341","Adenine specific Methyltransferase MboIIA",6,"Take-over"
"342","Activating signal cointegrator.1, Activating signal cointegrator, Structural MSE, CAC.58A",6,"0"
"343","Uncharacterized conserved protein (DUF2303)",5,"Unknown/Hypothetical"
"344","Ubiquitin-like protein 4A/Large proline-rich protein-anchored transmembrane protein biogenesis, quality CPS, SO4.85A",5,"Other"
"345","This entry represents the putative helicase A859L",5,"Replication_general"
"346","terminase large subunit",5,"Assembly"
"347","Tailspike protein",5,"Structural"
"348","tail tube protein FII",5,"Structural"
"349","tail spike protein",5,"Structural"
"350","tail sheath tube",5,"Structural"
"351","tail completion protein",5,"Structural"
"352","Streptococcus thermophilus bacteriophage Gp111 protein",5,"0"
"353","Sporulation protein Cse60",5,"0"
"354","Sigma factor AlgU negative regulatory factor, TRANSCRIPTION.96A",5,"Transcription_regulation"
"355","Restriction endonuclease",5,"Replication_general"
"356","replisome organizer bipartite natively MSE.4A",5,"Replication_general"
"357","Putative phage holin",5,"Entry_Escape"
"358","Protein of unknown function (DUF3199)",5,"Unknown/Hypothetical"
"359","Protein of unknown function (DUF2514)",5,"Unknown/Hypothetical"
"360","Protein of unknown function (DUF2481)",5,"Unknown/Hypothetical"
"361","Protein of unknown function (DUF1804)",5,"Unknown/Hypothetical"
"362","Protein of unknown function (DUF1617)",5,"Unknown/Hypothetical"
"363","Protein of unknown function (DUF1367)",5,"Unknown/Hypothetical"
"364","Protein of unknown function (DUF1018)",5,"Unknown/Hypothetical"
"365","Primosomal protein 1",5,"0"
"366","Predicted hydrolases of HD superfamily",5,"0"
"367","Phage_holin_6_1",5,"Entry_Escape"
"368","Phage_holin_1",5,"Entry_Escape"
"369","Phage Tail Protein X",5,"Structural"
"370","Phage tail assemb.y chaperone protein, TAC",5,"Structural"
"371","phage protein, HK97 gp10 family",5,"Structural"
"372","Phage P2 GpU",5,"Assembly"
"373","Phage antitermination protein Q",5,"Replication_indicationlysogeny"
"374","Phage anti-repressor protein",5,"Transcription_regulation_indicationlysogeny"
"375","ORF OMEGA REPRESSOR, INC18 FAMILY OF.9A",5,"Transcription_regulation_indicationlysogeny"
"376","Oligoribonuclease",5,"Replication_general"
"377","Nucleic-acid-binding protein containing Zn-ribbon domain (DUF2082)",5,"Unknown/Hypothetical"
"378","NikA, BACTERIAL CONJUGATION, RELAXASE, DNA",5,"0"
"379","N acetylmuramoyl L alanine amidase endolysin",5,"Entry_Escape"
"380","N acetylmuramidase",5,"Entry_Escape"
"381","Mu-like prophage FluMu N-terminal domain",5,"0"
"382","MU TRANSPOSASE",5,"Replication_repairanrecombination"
"383","minor tail protein Z",5,"Structural"
"384","major capsid protein, P2 family",5,"Structural"
"385","lysozyme",5,"Entry_Escape"
"386","Loader and inhibitor of phage G40P",5,"0"
"387","InsA C-terminal domain",5,"0"
"388","Hint",5,"0"
"389","HeH/LEM domain",5,"0"
"390","gp6-Tail Connector Protein gp6 of Bacteriophage HK97 and similar proteins",5,"Structural"
"391","Fic family protein",5,"0"
"392","Family of unknown function (DUF5361)",5,"Unknown/Hypothetical"
"393","Family of unknown function",5,"Unknown/Hypothetical"
"394","Domain of unknown function (DUF5405)",5,"Unknown/Hypothetical"
"395","Domain of unknown function (DUF4376)",5,"Unknown/Hypothetical"
"396","Domain of unknown function (DUF4145)",5,"Unknown/Hypothetical"
"397","DNA-damage-inducible protein D; Provisional.Length=279",5,"0"
"398","DNA polymerase III subunit alpha",5,"Replication_general"
"399","DNA packaging protein",5,"Assembly"
"400","DNA N 6 adenine methyltransferase (Dam)",5,"Take-over"
"401","DNA methyltransferases DNMT3A 3.821A",5,"Take-over"
"402","Designed dimeric coiled coil peptide peptide, synthetic, metal coordination 7WJ, CIT.2A",5,"Unknown/Hypothetical"
"403","crystallin beta/gamma motif-containing protein.Length=2052",5,"0"
"404","Coronin-1A coil, coronin 1, PROTEIN.2A",5,"0"
"405","Chromosome segregation ATPases",5,"Replication_repairanrecombination"
"406","Chitin synthesis regulation, resistance to Congo red",5,"0"
"407","Bacteriophage replication protein O",5,"Replication_general"
"408","Bacterial protein of unknown function (DUF977)",5,"Unknown/Hypothetical"
"409","ATP-binding sugar transporter from pro-phage",5,"0"
"410","ASCH_ASC-1_like",5,"0"
"411","Arginine repressor analysis, ArgR, transcriptional regulator.409A",5,"Transcription_regulation_indicationlysogeny"
"412","AimR transcriptional regulator, HYDROLASE.75A",5,"Transcription_regulation"
"413","Adhesin BspA variable domain",5,"0"
"414","43 tail protein",5,"Structural"
"415","-RRN7 Zinc-finger of RNA-polymerase I-specific TFIIB, Rrn7",5,"Replication_general"
"416","-like_Pro Mu-like prophage I protein",5,"0"
"417","-dimeris T4 recombination endonuclease VII, dimerisation",5,"Replication_general"
"418","zinc-finger-containing domain",4,"Unknown/Hypothetical"
"419","Z-DNA-binding protein 1/Z-DNA complex splicing, DNA-binding, Polymorphism, DNA.45A",4,"0"
"420","Uncharacterized phage-encoded protein",4,"Unknown/Hypothetical"
"421","Uncharacterized ATPase, putative transposase",4,"Replication_repairanrecombination"
"422","Type I site specific restriction modification protein",4,"Take-over"
"423","Type I restriction-modification system methyltransferase subunit",4,"Take-over"
"424","tRNA-splicing ligase RtcB",4,"Replication_general"
"425","transcriptional repressor LexA",4,"Transcription_regulation_indicationlysogeny"
"426","Transcription elongation factor SPT5 motif, Structural Genomics, NPPSFA",4,"Replication_general"
"427","TM2 domain",4,"0"
"428","Thaumarchaeal output domain 1",4,"0"
"429","TERMINASE SMALL SUBUNIT",4,"Assembly"
"430","tape measure domain",4,"Structural"
"431","Tail sheath protein",4,"Structural"
"432","TAIL FIBER PROTEIN",4,"Structural"
"433","Tail fiber",4,"Structural"
"434","Super-infection exclusion protein B",4,"0"
"435","structural protein.Length=828",4,"Structural"
"436","RIBONUCLEASE HI",4,"Replication_general"
"437","Repressor protein CI helix bundle, DNA-binding, Repressor.64A",4,"Transcription_regulation_indicationlysogeny"
"438","Recombination endonuclease VII",4,"Replication_general"
"439","Rad52/22 family double-strand break repair protein",4,"Replication_repairanrecombination"
"440","Rad50 zinc hook motif",4,"0"
"441","Putative zinc ribbon domain",4,"0"
"442","Putative tail protein",4,"Structural"
"443","Putative minor capsid protein",4,"Structural"
"444","Putative Head Tail Connector Protein",4,"Structural"
"445","putative beta-lactamase inhibitor protein.1, putative beta-lactamase inhibitor protein EDO.4A",4,"0"
"446","Putative bacteriophage terminase small subunit",4,"Assembly"
"447","Protein of unknown function (FYDLN_acid)",4,"0"
"448","Protein of unknown function (DUF983)",4,"Unknown/Hypothetical"
"449","Protein of unknown function (DUF935)",4,"Unknown/Hypothetical"
"450","Protein of unknown function (DUF4236)",4,"Unknown/Hypothetical"
"451","Protein of unknown function (DUF4065)",4,"Unknown/Hypothetical"
"452","Protein of unknown function (DUF2951)",4,"Unknown/Hypothetical"
"453","Protein of unknown function (DUF2730)",4,"Unknown/Hypothetical"
"454","Protein of unknown function (DUF2680)",4,"Unknown/Hypothetical"
"455","Protein of unknown function (DUF2400)",4,"Unknown/Hypothetical"
"456","Protein of unknown function (DUF1381)",4,"Unknown/Hypothetical"
"457","Protein of unknown function (DUF1140)",4,"Unknown/Hypothetical"
"458","Protein ninB genomics, PSI, Protein Structure.51A",4,"Replication_repairanrecombination"
"459","Predicted nuclease of the RNAse H fold, HicB family",4,"Replication_general"
"460","PIN_NicB-like",4,"0"
"461","Phage protein GP46",4,"0"
"462","Phage protein (N4 Gp49/phage Sf6 gene 66) family",4,"0"
"463","Phage holin family Hol44, in holin superfamily V",4,"Entry_Escape"
"464","phage baseplate assembly protein V",4,"Assembly"
"465","PGRP",4,"Entry_Escape"
"466","Peptidoglycan endopeptidase RipA",4,"Entry_Escape"
"467","N6 adenosine methyltransferase subunit",4,"Take-over"
"468","Mu-like prophage protein gp46",4,"0"
"469","Mu-like prophage I protein",4,"0"
"470","Mu-like prophage DNA circulation protein",4,"0"
"471","Mor transcription activator family",4,"Replication_general"
"472","minor structural protein GP20",4,"Structural"
"473","major capsid protein, cementing protein topology, cryoEM, VIRUS.5A",4,"Structural"
"474","lysin",4,"Entry_Escape"
"475","LydA holin phage, holin superfamily III",4,"Entry_Escape"
"476","large terminase protein",4,"Assembly"
"477","LAMBDA REPRESSOR (TRIPLE MUTANT)/DNA COMPLEX-DNA COMPLEX, DOUBLE HELIX, TRANSCRIPTION-DNA.1A",4,"Transcription_regulation_indicationlysogeny"
"478","internal virion protein A",4,"Entry_Escape"
