"","superkingdom","family","genus","species","kingdom","VC","EukVirBin_noanello","EukVirBin","PhageBin","ContigBin","VC_Genus","Host","Host_specific","OTU","infection"
"NODE_1023_length_2050_cov_28_857577_S003-195","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus 5","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1023_length_2050_cov_28_857577_S003-195","Torque teno mini virus 5"
"NODE_103_length_2526_cov_42_503062_S003-142","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_103_length_2526_cov_42_503062_S003-142","0"
"NODE_103_length_2666_cov_41_632290_S004-178","Viruses","Anelloviridae","Alphatorquevirus","Torque teno virus 16","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID9",NA,"Singleton_ClusterID490",NA,"Vertebrates","Vertebrates","NODE_103_length_2666_cov_41_632290_S004-178","Torque teno virus 16"
"NODE_103_length_2718_cov_37_961378_S007-99","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID10",NA,"NOTSURE_ClusterID491",NA,"Vertebrates","Vertebrates","NODE_103_length_2718_cov_37_961378_S007-99","0"
"NODE_103_length_2956_cov_530_228899_S007-86","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_103_length_2956_cov_530_228899_S007-86","TTV-like mini virus"
"NODE_1038_length_1798_cov_8_141197_S003-141","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1038_length_1798_cov_8_141197_S003-141","0"
"NODE_104_length_1094_cov_8_016716_S006-124","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_104_length_1094_cov_8_016716_S006-124","0"
"NODE_104_length_2699_cov_22_471014_S009-182","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID11",NA,"Singleton_ClusterID592",NA,"Vertebrates","Vertebrates","NODE_104_length_2699_cov_22_471014_S009-182","0"
"NODE_104_length_2888_cov_198_431875_S010-137","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID593",NA,"Vertebrates","Vertebrates","NODE_104_length_2888_cov_198_431875_S010-137","0"
"NODE_1045_length_1263_cov_4_914840_S009-193","Viruses","Anelloviridae","Anelloviridae","Torque teno midi virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1045_length_1263_cov_4_914840_S009-193","Torque teno midi virus"
"NODE_105_length_2556_cov_31_144010_S009-244","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus 10","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_105_length_2556_cov_31_144010_S009-244","Torque teno mini virus 10"
"NODE_105_length_3064_cov_12_573820_S011-28","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID13",NA,"Singleton_ClusterID690",NA,"Vertebrates","Vertebrates","NODE_105_length_3064_cov_12_573820_S011-28","Torque teno virus"
"NODE_105_length_3104_cov_60_788239_S004-116","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID14",NA,"Singleton_ClusterID691",NA,"Vertebrates","Vertebrates","NODE_105_length_3104_cov_60_788239_S004-116","Torque teno virus"
"NODE_106_length_2422_cov_24_360768_S009-181","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus 5","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID15",NA,"NOTSURE_ClusterID779",NA,"Vertebrates","Vertebrates","NODE_106_length_2422_cov_24_360768_S009-181","Torque teno mini virus 5"
"NODE_106_length_2501_cov_17_508251_S003-142","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_106_length_2501_cov_17_508251_S003-142","0"
"NODE_1065_length_797_cov_13_752778_S004-124","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1065_length_797_cov_13_752778_S004-124","Torque teno virus"
"NODE_107_length_1084_cov_5_751738_S006-124","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_107_length_1084_cov_5_751738_S006-124","TTV-like mini virus"
"NODE_107_length_1931_cov_4_575512_S010-168","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID16",NA,"Singleton_ClusterID849",NA,"Vertebrates","Vertebrates","NODE_107_length_1931_cov_4_575512_S010-168","Anelloviridae sp."
"NODE_107_length_2215_cov_12_222170_S009-201","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID17",NA,"SURE_ClusterID852",NA,"Vertebrates","Vertebrates","NODE_107_length_2215_cov_12_222170_S009-201","TTV-like mini virus"
"NODE_107_length_2653_cov_38_116460_S004-178","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID8",NA,"NOTSURE_ClusterID260",NA,"Vertebrates","Vertebrates","NODE_107_length_2653_cov_38_116460_S004-178","Torque teno virus"
"NODE_1075_length_1241_cov_4_792955_S009-193","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID18",NA,"Singleton_ClusterID889",NA,"Vertebrates","Vertebrates","NODE_1075_length_1241_cov_4_792955_S009-193","0"
"NODE_1075_length_1756_cov_5_634306_S003-141","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID19",NA,"Singleton_ClusterID891",NA,"Vertebrates","Vertebrates","NODE_1075_length_1756_cov_5_634306_S003-141","Torque teno virus"
"NODE_109_length_2631_cov_56_141347_S004-178","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID20",NA,"Singleton_ClusterID983",NA,"Vertebrates","Vertebrates","NODE_109_length_2631_cov_56_141347_S004-178","0"
"NODE_109_length_2803_cov_52_699193_S010-137","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID21",NA,"NOTSURE_ClusterID985",NA,"Vertebrates","Vertebrates","NODE_109_length_2803_cov_52_699193_S010-137","0"
"NODE_11_length_5358_cov_474_593638_S004-121","Viruses","Parvoviridae","Bocaparvovirus","Primate bocaparvovirus 2","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_5","Singleton_ClusterID22",NA,"Singleton_ClusterID1069",NA,"Vertebrates","Vertebrates","NODE_11_length_5358_cov_474_593638_S004-121","Primate bocaparvovirus 2"
"NODE_110_length_2623_cov_250_098979_S004-178","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_110_length_2623_cov_250_098979_S004-178","TTV-like mini virus"
"NODE_110_length_2642_cov_77_929825_S009-182","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID15",NA,"NOTSURE_ClusterID1083",NA,"Vertebrates","Vertebrates","NODE_110_length_2642_cov_77_929825_S009-182","0"
"NODE_1104_length_1721_cov_8_762165_S003-141","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus 10","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1104_length_1721_cov_8_762165_S003-141","Torque teno mini virus 10"
"NODE_111_length_2617_cov_172_887795_S004-178","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus SHA","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID8",NA,"NOTSURE_ClusterID260",NA,"Vertebrates","Vertebrates","NODE_111_length_2617_cov_172_887795_S004-178","Torque teno mini virus SHA"
"NODE_111_length_2793_cov_84_251473_S010-137","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID593",NA,"Vertebrates","Vertebrates","NODE_111_length_2793_cov_84_251473_S010-137","0"
"NODE_111_length_2992_cov_163_337221_S004-153","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"NOTSURE_ClusterID24",NA,"NOTSURE_ClusterID69",NA,"Vertebrates","Vertebrates","NODE_111_length_2992_cov_163_337221_S004-153","0"
"NODE_111_length_3027_cov_133_157288_S004-194","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID6",NA,"NOTSURE_ClusterID211",NA,"Vertebrates","Vertebrates","NODE_111_length_3027_cov_133_157288_S004-194","0"
"NODE_1111_length_2138_cov_15_541970_S010-123","Viruses","Astroviridae","Mamastrovirus","Mamastrovirus 9","Viruses_EukaryoticVirus",NA,"SURE_ClusterID_7","SURE_ClusterID25",NA,"SURE_ClusterID1161",NA,"Vertebrates","Vertebrates","NODE_1111_length_2138_cov_15_541970_S010-123","Mamastrovirus 9"
"NODE_112_length_1868_cov_5_667783_S010-168","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_112_length_1868_cov_5_667783_S010-168","0"
"NODE_112_length_2013_cov_11_261880_S009-128","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_112_length_2013_cov_11_261880_S009-128","Torque teno virus"
"NODE_112_length_2485_cov_13_820183_S003-142","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_112_length_2485_cov_13_820183_S003-142","0"
"NODE_112_length_2565_cov_11_706994_S007-99","Viruses","Anelloviridae","Gammatorquevirus","Torque teno midi virus 11","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_112_length_2565_cov_11_706994_S007-99","Torque teno midi virus 11"
"NODE_112_length_2632_cov_195_163209_S009-182","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus SHA","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID26",NA,"NOTSURE_ClusterID1220",NA,"Vertebrates","Vertebrates","NODE_112_length_2632_cov_195_163209_S009-182","Torque teno mini virus SHA"
"NODE_1127_length_1192_cov_6_256502_S007-44","Viruses","Picornaviridae","Enterovirus","Rhinovirus A","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1127_length_1192_cov_6_256502_S007-44","Rhinovirus Axx"
"NODE_1127_length_1225_cov_3_443380_S009-141","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1127_length_1225_cov_3_443380_S009-141","0"
"NODE_113_length_2483_cov_6_565669_S003-142","Viruses","Anelloviridae","Anelloviridae","Small anellovirus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_113_length_2483_cov_6_565669_S003-142","Small anellovirus"
"NODE_113_length_2630_cov_45_095182_S009-182","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID27",NA,"NOTSURE_ClusterID1286",NA,"Vertebrates","Vertebrates","NODE_113_length_2630_cov_45_095182_S009-182","0"
"NODE_113_length_2960_cov_57_059660_S004-116","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID14",NA,"NOTSURE_ClusterID1290",NA,"Vertebrates","Vertebrates","NODE_113_length_2960_cov_57_059660_S004-116","0"
"NODE_114_length_2377_cov_13_849565_S009-181","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID10",NA,"NOTSURE_ClusterID491",NA,"Vertebrates","Vertebrates","NODE_114_length_2377_cov_13_849565_S009-181","Torque teno virus"
"NODE_114_length_2561_cov_96_923510_S007-99","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID10",NA,"NOTSURE_ClusterID491",NA,"Vertebrates","Vertebrates","NODE_114_length_2561_cov_96_923510_S007-99","0"
"NODE_114_length_2751_cov_37_925954_S010-137","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID28",NA,"Singleton_ClusterID1361",NA,"Vertebrates","Vertebrates","NODE_114_length_2751_cov_37_925954_S010-137","Anelloviridae sp."
"NODE_114_length_2756_cov_100_374393_S007-86","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID29",NA,"Singleton_ClusterID1362",NA,"Vertebrates","Vertebrates","NODE_114_length_2756_cov_100_374393_S007-86","Anelloviridae sp."
"NODE_115_length_1535_cov_6_320302_S011-52","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_115_length_1535_cov_6_320302_S011-52","0"
"NODE_115_length_2467_cov_195_604184_S003-142","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID30",NA,"NOTSURE_ClusterID1399",NA,"Vertebrates","Vertebrates","NODE_115_length_2467_cov_195_604184_S003-142","0"
"NODE_116_length_2594_cov_30_966627_S004-178","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_116_length_2594_cov_30_966627_S004-178","TTV-like mini virus"
"NODE_1169_length_1501_cov_5_421348_S011-38","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus SHA","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1169_length_1501_cov_5_421348_S011-38","Torque teno mini virus SHA"
"NODE_117_length_2859_cov_32_335370_S010-157","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID31",NA,"NOTSURE_ClusterID1520",NA,"Vertebrates","Vertebrates","NODE_117_length_2859_cov_32_335370_S010-157","0"
"NODE_117_length_2917_cov_1112_048592_S004-116","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID14",NA,"NOTSURE_ClusterID1290",NA,"Vertebrates","Vertebrates","NODE_117_length_2917_cov_1112_048592_S004-116","0"
"NODE_1170_length_549_cov_83_440678_S010-168","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1170_length_549_cov_83_440678_S010-168","Anelloviridae sp."
"NODE_1174_length_1029_cov_9_544118_S006-28","Viruses","Small circular virus","CRESS viruses","CRESS virus sp.","Viruses_EukaryoticVirus",NA,"NOTSURE_ClusterID_8_contaminomics","NOTSURE_ClusterID_8_contaminomics",NA,NA,NA,"EukaryoticOrganism","EukaryoticOrganism","NODE_1174_length_1029_cov_9_544118_S006-28","CRESS virus sp."
"NODE_118_length_2459_cov_8_596138_S003-142","Viruses","Anelloviridae","Anelloviridae","Chimpanzee anellovirus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID30",NA,"NOTSURE_ClusterID1399",NA,"Vertebrates","Vertebrates","NODE_118_length_2459_cov_8_596138_S003-142","Chimpanzee anellovirus"
"NODE_1186_length_616_cov_390_211503_S007-99","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1186_length_616_cov_390_211503_S007-99","0"
"NODE_1188_length_1617_cov_6_864935_S003-141","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1188_length_1617_cov_6_864935_S003-141","Torque teno virus"
"NODE_119_length_2452_cov_20_230737_S003-142","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_119_length_2452_cov_20_230737_S003-142","Torque teno virus"
"NODE_119_length_2453_cov_32_260943_S009-244","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID33",NA,"Singleton_ClusterID1626",NA,"Vertebrates","Vertebrates","NODE_119_length_2453_cov_32_260943_S009-244","0"
"NODE_1193_length_2038_cov_14_517593_S010-123","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID34",NA,"Singleton_ClusterID1653",NA,"Vertebrates","Vertebrates","NODE_1193_length_2038_cov_14_517593_S010-123","0"
"NODE_12_length_3099_cov_141_868630_S005-126","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID35",NA,"NOTSURE_ClusterID1687",NA,"Vertebrates","Vertebrates","NODE_12_length_3099_cov_141_868630_S005-126","Torque teno virus"
"NODE_12_length_7482_cov_2743_080216_S010-168","Viruses","Picornaviridae","Enterovirus","Enterovirus B","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_9","Singleton_ClusterID36",NA,"Singleton_ClusterID1696",NA,"Vertebrates","Vertebrates","NODE_12_length_7482_cov_2743_080216_S010-168","Enterovirus Bb"
"NODE_120_length_2449_cov_11_709949_S003-142","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_120_length_2449_cov_11_709949_S003-142","0"
"NODE_120_length_2453_cov_7_555976_S009-244","Viruses","Anelloviridae","Gammatorquevirus","Torque teno midi virus 11","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID37",NA,"Singleton_ClusterID1708",NA,"Vertebrates","Vertebrates","NODE_120_length_2453_cov_7_555976_S009-244","Torque teno midi virus 11"
"NODE_120_length_2487_cov_13_492946_S007-131","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID38",NA,"Singleton_ClusterID1710",NA,"Vertebrates","Vertebrates","NODE_120_length_2487_cov_13_492946_S007-131","0"
"NODE_120_length_2506_cov_13_019350_S007-99","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_120_length_2506_cov_13_019350_S007-99","0"
"NODE_120_length_2548_cov_95_813841_S004-178","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_120_length_2548_cov_95_813841_S004-178","0"
"NODE_120_length_2697_cov_20_509160_S010-137","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID1711",NA,"Vertebrates","Vertebrates","NODE_120_length_2697_cov_20_509160_S010-137","0"
"NODE_1206_length_1121_cov_543_839080_S010-64","Viruses","Reoviridae","Rotavirus","Rotavirus A","Viruses_EukaryoticVirus",NA,"SURE_ClusterID_10","SURE_ClusterID39",NA,"SURE_ClusterID1736",NA,"Vertebrates","Vertebrates","NODE_1206_length_1121_cov_543_839080_S010-64","Rotavirus A"
"NODE_121_length_2819_cov_91_590080_S004-194","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID6",NA,"NOTSURE_ClusterID211",NA,"Vertebrates","Vertebrates","NODE_121_length_2819_cov_91_590080_S004-194","Anelloviridae sp."
"NODE_123_length_1190_cov_8_277628_S011-79","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_123_length_1190_cov_8_277628_S011-79","0"
"NODE_123_length_1624_cov_165_813833_S009-70","Viruses","Reoviridae","Rotavirus","Rotavirus A","Viruses_EukaryoticVirus",NA,"SURE_ClusterID_10","SURE_ClusterID39",NA,"SURE_ClusterID1736",NA,"Vertebrates","Vertebrates","NODE_123_length_1624_cov_165_813833_S009-70","Rotavirus A"
"NODE_123_length_1651_cov_42_492376_S005-167","Viruses","Picornaviridae","Kobuvirus","Aichivirus A","Viruses_EukaryoticVirus",NA,"SURE_ClusterID_12","SURE_ClusterID_12",NA,NA,NA,"Vertebrates","Vertebrates","NODE_123_length_1651_cov_42_492376_S005-167","Aichivirus A"
"NODE_123_length_2616_cov_20_789681_S006-131","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus 5","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID41",NA,"NOTSURE_ClusterID75",NA,"Vertebrates","Vertebrates","NODE_123_length_2616_cov_20_789681_S006-131","Torque teno mini virus 5"
"NODE_123_length_2773_cov_189_621662_S004-194","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID6",NA,"NOTSURE_ClusterID211",NA,"Vertebrates","Vertebrates","NODE_123_length_2773_cov_189_621662_S004-194","0"
"NODE_123_length_2858_cov_47_291262_S004-116","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID14",NA,"NOTSURE_ClusterID1290",NA,"Vertebrates","Vertebrates","NODE_123_length_2858_cov_47_291262_S004-116","Anelloviridae sp."
"NODE_125_length_2381_cov_21_458333_S009-244","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID33",NA,"Singleton_ClusterID1948",NA,"Vertebrates","Vertebrates","NODE_125_length_2381_cov_21_458333_S009-244","0"
"NODE_125_length_2544_cov_25_053506_S009-182","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID15",NA,"Singleton_ClusterID1950",NA,"Vertebrates","Vertebrates","NODE_125_length_2544_cov_25_053506_S009-182","0"
"NODE_125_length_2808_cov_510_385939_S004-116","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID42",NA,"NOTSURE_ClusterID1951",NA,"Vertebrates","Vertebrates","NODE_125_length_2808_cov_510_385939_S004-116","TTV-like mini virus"
"NODE_1250_length_776_cov_4_027182_S011-87","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID43",NA,"NOTSURE_ClusterID1960",NA,"Vertebrates","Vertebrates","NODE_1250_length_776_cov_4_027182_S011-87","0"
"NODE_1263_length_1262_cov_5_800000_S007-128","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1263_length_1262_cov_5_800000_S007-128","0"
"NODE_127_length_2309_cov_17_280914_S009-179","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID15",NA,"SURE_ClusterID2046",NA,"Vertebrates","Vertebrates","NODE_127_length_2309_cov_17_280914_S009-179","0"
